id;date;kiloWattHours;pricePerCharge;provider;createdAt;updatedAt;userId;deletedAt
100;2022-12-20;10.00;0.00;office;2022-12-20 11:41:10.756;2022-12-20 11:41:10.756;1;
101;2022-12-21;10.20;2.80;abc;2022-12-24 14:48:56.321;2022-12-24 14:49:16.942;1;
102;2022-12-23;6.60;1.40;abc;2022-12-24 14:51:53.158;2022-12-24 14:51:53.158;1;
103;2022-12-22;6.00;1.30;k-lataus;2022-12-24 14:53:23.01;2022-12-24 14:53:23.01;1;
104;2022-12-23;4.10;1.20;other;2022-12-24 14:56:26.77;2022-12-24 14:56:26.77;1;
105;2022-12-26;3.80;0.00;office;2023-01-02 12:12:19.459;2023-01-02 12:12:19.459;1;
108;2023-01-03;5.50;1.00;other;2023-01-03 08:15:00.058;2023-01-03 08:15:53.977;1;
109;2023-01-05;5.10;0.90;other;2023-01-05 17:22:46.735;2023-01-05 17:23:00.133;1;
110;2023-01-05;4.80;1.00;k-lataus;2023-01-05 17:24:06.518;2023-01-05 17:24:25.876;1;
111;2023-01-05;7.50;0.00;office;2023-01-05 18:23:14.676;2023-01-05 18:23:14.676;1;
112;2023-01-04;15.00;4.00;abc;2023-01-05 19:03:24.703;2023-01-05 19:03:24.703;1;
113;2023-01-07;4.10;0.00;other;2023-01-07 17:56:24.157;2023-01-07 17:56:24.157;1;
114;2023-01-06;10.80;2.90;abc;2023-01-07 17:56:55.652;2023-01-07 17:56:55.652;1;
115;2023-01-10;4.50;0.00;office;2023-01-10 15:22:25.928;2023-01-10 15:22:25.928;1;
116;2023-01-09;25.50;0.00;office;2023-01-10 15:23:43.57;2023-01-10 15:23:43.57;1;
117;2023-01-11;20.90;4.20;virta;2023-01-11 18:37:57.334;2023-01-11 18:37:57.334;1;
118;2023-01-11;2.10;0.90;virta;2023-01-11 18:42:55.728;2023-01-11 18:42:55.728;1;
119;2023-01-11;3.60;0.70;virta;2023-01-11 18:43:20.714;2023-01-11 18:43:20.714;1;
120;2023-01-11;0.80;0.20;k-lataus;2023-01-11 18:44:30.645;2023-01-11 18:44:30.645;1;
121;2023-01-11;10.00;4.00;virta;2023-01-12 07:05:02.413;2023-01-12 07:05:02.413;1;
122;2023-01-12;5.00;0.00;office;2023-01-12 21:44:05.326;2023-01-12 21:44:05.326;1;
123;2023-01-13;20.40;0.00;office;2023-01-13 13:01:42.41;2023-01-13 13:01:42.41;1;
124;2023-01-15;8.80;2.10;lidl;2023-01-15 18:50:14.643;2023-01-15 20:05:14.307;1;
129;2023-01-27;15.00;0.00;office;2023-01-28 18:24:37.188;2023-01-28 18:24:37.188;1;
130;2023-01-25;10.00;0.00;office;2023-01-28 18:24:55.781;2023-01-28 18:24:55.781;1;
131;2023-01-29;10.00;4.00;virta;2023-01-29 14:31:59.402;2023-01-29 14:31:59.402;1;
132;2023-01-30;18.00;0.00;office;2023-01-30 13:05:24.962;2023-01-30 13:06:10.295;1;
135;2023-02-04;13.90;3.10;virta;2023-02-04 18:04:19.53;2023-02-04 18:04:19.53;1;
136;2023-02-02;12.00;0.00;office;2023-02-04 18:05:21.086;2023-02-04 18:05:21.086;1;
137;2023-02-06;11.20;0.00;office;2023-02-06 16:25:30.727;2023-02-06 16:25:30.727;1;
138;2023-02-10;2.50;0.90;virta;2023-02-10 08:28:12.03;2023-02-10 08:28:12.03;1;
139;2023-02-09;13.20;0.00;k-lataus;2023-02-10 08:28:39.799;2023-02-10 08:28:39.799;1;
140;2023-02-12;24.00;0.00;other;2023-02-13 05:02:15.531;2023-02-13 05:02:15.531;1;
141;2023-02-13;3.30;0.90;virta;2023-02-13 09:52:35.041;2023-02-13 09:52:35.041;1;
144;2023-02-16;24.50;0.00;office;2023-02-16 15:38:24.277;2023-02-16 15:38:24.277;1;
